Organization Name,Mission Statement,Website Link 
Community Action Partnership- Youth Empowerment Center,Our mission is to work in partnership with local communities to eliminate the causes and conditions of poverty and to promote individual independence and self-sufficiency.,n/a
Franklin County Chapter OSPE,"To protect the interests of all disciplines of engineering, and to promote engineering to the community.",http://www.ohioengineer.com/chapters/franklin_county/chapter.htm
SASS Shihtzu Rescue,"We are dedicated to saving the lives of Shih Tzu anywhere our help is needed. To save, give love, vet care, rehab and rehome",http://www.sassrescue.com
Furniture Bank of Central Ohio,"The mission of the Furniture Bank of Central Ohio is to provide a free furniture for individuals and families struggling with poverty and other severe life challenges - ""Turning Empty Houses Into Homes."" The organization was originally ""Material Assi...",http://www.FurnitureBankCOH.org
"Esperanza, Inc.","The Mission of Esperanza is improve the academic achievement of Hispanics in Greater Cleveland by supporting students to graduate high school and promoting post-secondary educational attainment. Our programs offer experience, support, guidance, and s...",http://www.esperanzainc.com
Grace Hospice,"For each employee to treat every patient as their own treasured loved one, providing care that affords a quality of life that outweighs quantity of days, and supports caregivers as their hearts find healing.",http://www.ghospice.com
Public Library of Cincinnati and Hamilton County,To connect people to the world of ideas and information.,http://cincinnatilibrary.org
Earth Day Coalition,"The Mission of Earth Day Coalition is to provide education, inspire leadership and encourage action for a healthy environment. Est. 1990 Our earth, our future",http://www.earthdaycoalition.org
Pyramid Hill Sculpture Park and Museum,"Mission Statement: Pyramid Hill Sculpture Park & Museum is a 265 acre, outdoor museum focusing on monumental pieces of sculpture in an environment of lakes, meadows, forests, and gardens. Educational and recreational programs in art, horticulture, ge...",http://www.pyramidhill.org
Urban Connections,The mission of Urban Connections is to connect people with Christ and each other and develop our community together.,n/a
Second Harvest Food Bank of the Mahoning Valley,"Second Harvest Food Bank of the Mahoning Valley is the community's effort to alleviate hunger through the acquisition, storage and distribution of food; education and advocacy.",http://www.mahoningvalleysecondharvest.org
Western Reserve Academy,"A Western Reserve Academy education offers a transformational experience where students strive for excellence, live with integrity and act with compassion.",http://www.wra.net/
Center for Holocaust and Humanity,"The Center for Holocaust and Humanity Education educates about the Holocaust, remembers its victims and acts on its lessons.",http://www.holocaustandhumanity.org/
Dayton Performing Arts Alliance,"The Dayton Ballet, Opera, and Philharmonic, through a sustainable and innovative collaboration, locally produce the highest-quality performances, making Dayton a destination for diverse audiences to experience arts and education vital to life.",n/a
Swan Creek Retirement Village,"Our mission is to provide older adults with caring and quality services toward the enhancement od physical, mental and spiritual well-being consistent with the Christian Gospel.",http://swancreekohio.org
Horizon Science Academy Lorain,"The purpose of Horizon Science Academy is to fully prepare students to carry the torch of knowledge, freedom, and prosperity which is passed from generation to generation in this great country.",http://www.horizonlorain.org
N & H Independent Living Inc.,"Mission Statement We advocate for the rights of our consumers while providing them the supportive assistance, care, information and referral services and the training to live a life of independence. While caring for the body as a whole, mind, body, s...",http://www.nandhservice.com
"The Foodbank, Inc.",The Foodbank is committed to relieving hunger through the acquisition and distribution of food to hungry people throughout the Miami Valley.,http://www.thefoodbankdayton.org
Summa Western Reserve Hospital,"The mission of Summa Health System is to provide the highest quality, compassionate care to our patients and members and to contribute to a healthier community. http://www.westernreservehospital.org/careers/volunteer.html",http://www.westernreservehospital.org/careers/volunteer.html
"Beyond Healing, Living Well with Cancer","Our mission is to provide compassionate support services for the body,mind and spirit of all those affected by cancer. We are here to comfort and help empower each individual. Our services are FREE to everyone with cancer, including their friends and...",http://www.beyond-healing.org
Joni and Friends Ohio,To communicate the Gospel and equip Christ-honoring churches worldwide to evangelize and disciple people affected by disabilities.,http://www.joniandfriends.org/ohio/
United Way of Greater Cleveland,"United Way of Greater Cleveland is a leader in addressing health and human service needs through convening partnerships, funding programs, generating resources and advocating for public policy to support our community's priorities.",http://www.unitedwaycleveland.org
Faces without Places,To remove barriers to education for children and youth experiencing homelessness.,http://www.faceswithoutplaces.org
Catholic Charities Community Services/Summit County,"Catholic Charities Community Services / Summit County (formerly named CYO and Community Services and Catholic Social Services) is a vibrant agency that addresses the societal needs of children & families, persons with disabilities, older adults, and ...",http://www.clevelandcatholiccharities.org/summit
Ohio Commission on Service and Volunteerism,To Strengthen Ohio Communities through Service and Volunteerism,http://www.serveohio.org
CASA for Clermont Kids,"The mission of CASA for Clermont Kids is to advocate for the best interests of abused, neglected and dependent children who have been introduced into Clermont County Juvenile Court. A non-profit agency based on the belief that children are entitled t...",http://www.casaforclermontkids.org
Doma International,"Doma means 'home' in several languages. We exist to redefine 'home' for those whose homes have been filled with abuse, neglect, and injustice. We believe that women who have lived in slavery should be empowered to gain true independence. We journey w...",http://www.domaconnection.org
All Caring Hospice,The mission of All Caring Hospice is to understand and help guide our patients' quest for a rewarding quality of life in their final days and to help their circle of family and friends support them in life and grieve for them in death. All Caring ple...,http://www.allcaringhospice.com/
Saturday Tutoring at Lyndhurst Community Presbyterian Church,SERVE PASSIONATELY,http://www.lyndhurstpresbyterian.org
Burroughs Elementary School,"Each child reaches his or her full potential in a safe and positive learning environment that allows staff to teach, students to learn, and parents to support.",http://www.columbus.k12.oh.us/schpro.nsf/lookup-web/Burroughs+Elementary+School?opendocument
Little Sisters of the Poor,"The mission of Little Sisters of the Poor is to offer the neediest elderly of every race and religion a home where they will be welcomed as Christ, cared for as family and accompanied with dignity until God calls them to himself.",http://littlesistersofthepoorcincinnati.org/
Westpark community cupboard,"To connect people through feeding for the sake of alleviating poverty""",n/a
Thea Bowman Center,"The Thea Bowman Center is a welcoming, collaborative community of neighbors, volunteers, friends and staff dedicated to supporting the spirit and enhancing the quality of life of the Mt. Pleasant community.",http://www.theabowmancenter.org
Kettering Middle School,We are a public school in Kettering OH listed on the Great Schools website.,http://www.ketteringschools.org/school_home.aspx?schoolID=2
Society of St. Vincent de Paul,"A network of neighbors, inspired by Gospel values, growing in holiness and building a more just world through personal relationships with and service to people in need.",http://www.svdpcincinnati.org
Northern Ohio Childrens Performing Music Foundation (aka The Singing Angels),"To encourage, foster, and cultivate positive youth development by engaging youth from all communities in quality music and performing arts education that teaches discipline, builds confidence, and provides a foundation for life. Making Music, Making ...",http://www.singingangels.org
"Family & Community Services, Inc.","Family & Community Services, Inc. seeks to support, strengthen, and empower individuals and families through a broad continuum of community-based services that meet the needs and values of the community. The agency is guided by a commitment to indivi...",http://www.fcsohio.org
"Educate the Congo Project, Inc.","We desire to introduce substantial development to eliminate poverty and give the people of the Democratic Republic of Congo access to capital so they can earn a living by building schools, orphanages, teaching hospitals, and community centers.",http://www.linkcongo.org
International Mosaic Down Syndrome Association,"""IMDSA is designed to support any family or individual whose life has been touched by mosaic Down syndrome by continuously pursuing research opportunities and increasing awareness in the medical, educational and public communities throughout the worl...",http://www.imdsa.org
Fuzzbucket Farm Cat Rescue & Sanctuary,"Our mission is to provide a no-kill environment for mistreated and unwanted felines, promoting the placement of our cats with responsible, loving families and if necessary, a lifetime refuge in our sanctuary.",http://fuzzbucketfarm.org
Hospice of Southwest Ohio,"We support patients, families, and healthcare providers by easing the stress of end of life care.",http://www.hswo.org
Crohn's and Colitis Foundation Northeast Ohio Chapter,"To cure Crohn's disease and ulcerative colitis, and to improve the quality of life of children and adults affected by these diseases.",http://www.ccfa.org
RENAGHAIDS,We are committed to contributing our utmost in the dissemination of HIV/AIDS information and modes of prevention of new infections to all nooks and crannies of the world in order to eradicate ignorance which is the main cause of the spread of HIV and...,http://www.renaghaids.org
"Junior Achievement of Mahoning Valley, Inc.",Junior Achievement: empowering young people to own their economic success.,http://warren-youngstown.ja.org
Christian Inn Ministries,"Christian Inn Ministries exists to bring hope, healing and restoration to male and female ex-offenders and their families.",http://christianinn.org
Crohn's & Colitis Foundation Central Ohio Chapter,"The Crohn's & Colitis Foundation's mission is to cure Crohn's disease and ulcerative colitis, and to improve the quality of life of children and adults affected by these diseases.",http://www.ccfa.org/chapters/centralohio/
Pace Telecommunications Center Board,"To promote and provide access to and training in media and to facilitate the use of media, to inform, entertain and educate the community we serve.",http://www.nctonline.org
NAMI Butler County,"To provide hope and help to families and individuals whose lives are impacted by mental health disorders through advocacy, support, education and stigma-reduction.",http://nami-bc.org
Mason Food Pantry,Our mission is to share the products donated to us with those among us who have temporary income shortfall or short-term excess expenses by providing basic food and health care goods at no cost.,http://www.masonfoodpantry.org
National Vitiligo Foundation Inc (NVFI),"The National Vitiligo Foundation is devoted to increasing public awareness of the disease, advocating for patients with the disease, and supporting basic science and clinical research on the disease. Affecting 1-2% of the population worldwide, about ...",http://www.mynvfi.org
Vermilion Chamber of Commerce,"The purpose of the Vermilion Chamber of Commerce is to encourage and develop the intelligent participation of the citizens of the Vermilion community in all areas of community interest, including civic, government, consumer service, education and rec...",http://www.vermilionohio.com
Uptown Plain City Organization,"Preserve our heritage, strengthen our community and welcome the future of Plain City.",http://www.uptownplaincity.com
Akron Reads,"AkronReads is a community tutoring partnership between the Akron Public Schools and local businesses, government agencies, nonprofit and civic organizations. Since 1999, thousands of trained literacy tutors have helped Akron students K-3 to reach new...",http://www.akronreads.org/
"Petite Paws Rescue Angels, Inc.",Our Mission To promote education about Spay and Neuter of companion animals To prevent cruelty and abuse of any companion animal especially Yorkshire Terriers To change laws that allow commercial abuse of Yorkshire Terriers and other companion animal...,http://www.petitepaws.org/
Springboro Oktoberfest,"To raise funds to further the ministries, youth, and community outreach programs of the Springboro United Church of Christ.",http://www.oktoberfestspringboro.org/
Columbus Medical Association Foundation,"""Our mission is to encourage the youth of central Ohio to improve their lifestyles through health advocacy, prevention, and education""",http://www.cmafohioorg
Sandusky State Theatre,"The Sandusky State Theatre is a historic landmark that enhances the lives of residents in North Central Ohio by providing a variety of programs of artistic, educational and social value.",http://www.sanduskystate.com
Vanessa White for City Council,"As a member of Cincinnati City Council, Vanessa White will be committed to helping Cincinnati emerge as a city of choice that we grow together. By ""city of choice"" . . . Vanessa envisions safe and inviting communities that attract and retain families...",http://vanessaforcouncil.com/index.php
COAD Foster Grandparent Program,We place income elligible seniors 60 years and over into educational facilities for a minimum of 20 hours per week. This helps the seniors maintain a lifestyle in their own homes and provides much needed assistance to the children of our communities ...,http://www.coadinc.org
"Ohio Association of Foodbanks, Inc.","Through no fault of their own, many Ohioans are being forced to make tough decisions each and every day, such as choosing between paying rent or buying food. In an effort to eliminate such choices from having to be made and to help Ohioans gain acces...",http://www.ohiofoodbanks.org
The iTaalk Autism Foundation,"To train and educate families, educators and service providers on the basic uses of the interactive technological products (e.g. iPad, iPod, Android) for individuals with developmental disabilities; and, to s upply/provide interactive technological p...",http://www.itaalk.org
Muscular Dystrophy Association,"MDA is the nonprofit health agency dedicated to curing muscular dystrophy, ALS and related diseases by funding worldwide research. The Association also provides comprehensive health care and support services, advocacy and education.",http://www.mdausa.org
Community Action Akron Summit,To reduce poverty and promote self-sufficiency.,http://www.ca-akron.org
Warrior Run,To raise money for a Cincinnati Children's Hospital program Surviving the Teens.,http://cincywarriorrun.org
Bethel Church of Christ Bible Way,"To preach the Word of God throughout the world regardless of race, creed or ethnicity.",n/a
St. Francis Sarah Center,"The Sarah Center is an outreach ministry of St. Francis Seraph where underserved women come together to make jewelry, build relationships and reach their potential. Through social, artistic and cultural activities, they experience inner healing and t...",http://www.sfoutreach.org
Kids On The Block of Central Ohio,"The Kids On The Block program is powerful in helping break down barriers, enabling children to be candid with their questions and concerns. Using the puppetry dynamic, children feel positive about themselves, accept individual differences and learn v...",http://www.thegradybunchkotb.org
SonLight Power,"SonLight Power improves the lives of underserved children, families, and communities worldwide through sustainable solar-powered solutions. Our mission is to make an immediate and lasting impact in regions with no supply of affordable electricity - w...",http://www.sonlightpower.org
"Boy Scouts of America, Dan Beard Council","The mission of the Dan Beard Council is to prepare the over 33,000 young people in the Cincinnati and Northern Kentucky area to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law.",http://danbeard.org
Grand Lake Hospice,"Grand Lake Hospice affirms life and recognizes death as a natural process. We care for a patient by providing a palliative, compassionate, and dignified approach to care, which includes pain and symptom management. We support the patient in decision-...",n/a
RePlay for Kids,"The mission of RePlay for Kids is to increase the availability of toys and assistive devices for children with disabilities. We pursue this mission by repairing existing devices, adapting mainstream toys, designing new devices, and educating families...",http://www.replayforkids.org
St. Luke Lutheran Community,"""Providing faith-based services to enrich the lives of older adults.""",http://www.stlukelutherancommunity.org
Columbus Metropolitan Library,"Columbus Metropolitan Library envisions a thriving community where wisdom prevails. The library’s purpose is to inspire reading, share resources and connect people.",http://www.columbuslibrary.org
Winton Hills Community Church (PC USA),"WHCPC Mission Statement Our Mission is to: Witness to the world and create diverse and unique ministries that reach, teach and embrace all who seek to respond to the gospel and to maintain a vital, visible and vocal presence in the community.",n/a
YMCA of Greater Dayton,"To put Judeo-Christian principles into practice through programs that build a health spirit, mind and body for all.",http://www.ymcaonline.org
Fairlawn West United Church of Christ,"Core Values We use these in our personal lives and as the boundaries of our life as a church and in all the decisions we make about our ministry. The Core Values and Bedrock Beliefs are the ""DNA"" that set the boundaries of our lives together. We want...",http://www.fairlawnwest.org
The Up Side of Downs of Northeast Ohio,"The USOD provides support, education and advocacy for individuals with Down syndrome and their families.",http://www.usod.org
BOYS & GIRLS CLUB DAYTON,"The mission of Boys & Girls Clubs of America is to inspire and enable all young people, especially those who need us most to reach their full potential as caring, productive, responsible citizens.",http://www.bgcdayton.org
City of Dayton Dept.of Water,Take to the Great Miami River and CLEAN IT UP!,http://www.greatmiamirivercleanup.org/
Partners in Prime,Partners in Prime shall provide diverse enrichment and supportive opportunities that enchance the quality of life for older adults in southern Butler County (Ohio).,http://www.partnersinprime.org
The Dayton Art Institute,The Dayton Art Institute is committed to enriching the community by creating meaningful experiences with art that are available to all.,http://www.daytonartinstitute.org
"Paws and Whiskers Cat Shelter, Inc.","Paws and Whiskers Cat Shelter is dedicated to providing shelter, food, affection and veterinary care for homeless cats while searching for caring persons to adopt them into good homes. Paws and Whiskers will not perform or authorize euthanasia except...",http://www.pawsandwhiskers.org
Gentiva Hospice,To provide compassionate care to those we serve during the end of life's journey through our commitment to clinical excellence and uncompromising service.,http://www.gentiva.com
COMING FROM THE HEART MINISTRY,"To assist our customers build independence, a new quality of life, and a new career skill set for those who are face with employment & training challenges in today’s society.",http://COMINGFROMTHEHEARTMINISTRY.ORG
S.O.P.H.I.A.,"The purpose of S.O.P.H.I.A. is to provide residents of Trumbull County relief to the poor, the distressed or the underprivileged who apply to S.O.P.H.I.A. with (1) guidance and direction for immediate needs, and (2) emergency monetary assistance to s...",http://www.stoponeplace.org
The American Traditional Catholic Church,"To provide an alternative means of expressing the traditional Catholic faith. To reach out to those who are in need, to provide for both spiritual and corporal needs of those we are called to serve.",http://www.atcc-torcc.org
The Volunteer Center,to mobilize people and resources to deliver creative solutions to community problems and needs,n/a
Big Brothers Big Sisters of Northwestern Ohio Williams County Office,"To provide quality mentoring relationships between children and qualified adults in Northwestern Ohio and promote children’s development into competent, confident and caring individuals.",http://www.bbbsnwo.org
Big Brothers Big Sisters of Wood County,"It's our mission to provide quality mentoring relationships between children and qualified adults in Northwestern Ohio and promote their development into competent, confident and caring individuals.",http://www.bbbsnwo.org
North Union Farmers Market,"North Union Farmers Market champions the local foods of Northeast Ohio and promotes their environmental, economic and health benefits by connecting certified producers with consumers through a network of markets.",http://northunionfarmersmarket.org
Family Promise of Greater Cleveland,"The mission of Family Promise of Greater Cleveland is to inspire and empower homeless families to transform their lives, become self-sufficient, and fulfill their promise.",http://www.familypromisecle.org
Franklin County Emergency Management & Homeland Security,"Franklin County Emergency Management & Homeland Security coordinates and prepares for county-wide all-hazards disaster planning, community education, warning, training, grant funding, response, and recovery efforts in order to prepare and protect the...",http://www.franklincountyohio.gov/emahs/
Catholic Residential Services,"Our job is to provide support services to people with developmental disabilities in Hamilton County. Those services include housing, in-home care, medical supervision, transportation, job and life counseling, entertainment and recreation. We want to ...",http://www.catholicresidentialservices.org
"Dayton Early College Academy, Inc","DECA PREP immerse prospective first generation college students in a personalized, rigorous elementary and character education curriculum to assure they will succeed in high school and college. DECA PREP is a feeder elementary school to the Dayton Ea...",http://daytonearlycollege.org
Lorain County Health & Dentistry,"Lorain County Health & Dentistry, committed to respecting the dignity of every person, provides quality, comprehensive and compassionate primary health care to the people of Lorain and surrounding communities regardless of ability to pay.",http://www.lorainhealth-dentistry.com
Tourette Syndrome Association of Ohio,"The mission of the Tourette Syndrome Association of Ohio is to provide support, education and advocacy for individuals with TS and their families, and provide information to the public and professional communities.",http://www.tsaoho.org
Cleveland Council on World Affairs,"The Cleveland Council on World Affairs is a non-profit organization that was founded in 1923 to promote world peace. Today, we work toward creating a comprehensive program for Northeast Ohio that focuses on international affairs education and global ...",http://www.ccwa.org/default.aspx
Color Mania 5k,"To bring a community together for colorful, healthy fun.",http://colormania5k.com/columbus-color-run/
Kennedy Heights Community Council,"KHCC is a neighborhood organization formed with the objective of embracing diversity, preserving our heritage, sustaining our residential character, enhancing the value and physical attractiveness of our neighborhood, promoting safety, and encouragin...",http://www.kennedyheights.org
Lake Anna YMCA Community Center,"To put Christian principals into practice though programs that build a healthy spirit, mind, and body for all.",http://www.akronymca.org
KidSMILES Pediatric Dental Clinic,"KidSMILES is a volunteer-led, non-profit dental clinic dedicated to providing quality dental care and education to children at an affordable cost to their families",http://www.kidsmilesclinic.com
American Community Gardening Assoc.,The Mission of the American Community Gardening Association is to build community by increasing and enhancing community gardening and greening across the United States and Canada,http://communitygarden.org/about-acga/
Northeast Ohio Literacy Corps,Increasing literacy levels in the Greater Cleveland area,http://joinneoliteracycorps.wordpress.com/
RSVP of Mid Ohio,"To engage men and women age 55 and over in meaningful volunteer service that improves lives, strengthens communities, and fosters civic engagement through service and volunteering.",http://aaa5ohio.org
Artemis Center for Alternatives to Domestic Violence,Leading the Community in its Commitment to End Domestic Violence.,http://www.artemiscenter.org
City of Kettering,"Cities of Service is a national initiative to pair impact volunteering with a city's geratest need, be it neighborhood revitalization, beautification, clean up and more.",n/a
North Coast Development Corporation of Cleveland,"Mission Statement Empowered by God, we will partner with corporations, public and private agencies to recruit, train and mobilize a largely volunteer workforce to assist in city transformation through the efforts of the citizenry demonstrating both t...",n/a
Health Partners Free Clinic,"""To provide free quality health care to the uninsured and under-insured residents of Miami County""",http://www.healthpartnersclinic.org
Hocking Hills Tourism Association,The mission of the Hocking Hills Tourism Association is to promote the growth of responsible tourism through marketing strategies and programs that balance economic growth with the need to preserve the natural and cultural heritage in the Hocking Hil...,http://www.1800hocking.com
Bauer Elementary School,"The mission of the Miamisburg City School District is to unite the school community in nurturing success through: a sense of belonging a meaningful and applicable, quality education a commitment to lifelong learning an attitude of respect and toleran...",http://miamisburgcityschools.org/schools/bauer
MADD Mahoning-Trumbull,"The mission of MADD is to stop drinking and driving, support the victims of this violent crime and prevent underage drinking.",http://facebook.com/maddmtc
The Presidents' Council,"Acting as a catalyst for inclusion, The Presidents’ Council Supports, Develops, and Advocates for our region’s current and future generations of African American entrepreneurs and leaders for sustainable wealth creation through The Presid...",http://www.thepresidentscouncil.org
WACO Historical Society,To Preserve the Past and Inspire the Future.,http://www.wacoairmuseum.org
League of Women Voters of the Cincinnati Area Education Fund,"The League of Women Voters, a nonpartisan political organization, encourages informed and active participation in government, works to increase understanding of major public policy issues, and influences public policy through education and advocacy.",http://www.lwvcincinnati.org
New Life Furniture Bank,"To give ""new life"" to empty homes by providing furniture to those people overcoming homelessness and living in extreme poverty.",http://www.nlfurniture.org
Montgomery County Juvenile Court CASA Program Volunteer Advocate,"The mission of CASA is to speak for the best interests of abused and neglected children in the courts. We promote and support quality volunteer representation for children to provide each child a safe, permanent, nurturing home.",http://www.nationalcasa.org
Mid-Ohio Foodbank,To end hunger one nourishing meal at a time and co-create a sustainable community where everyone thrives.,http://www.midohiofoodbank.org
"NE Ohio Greyhound Rescue, Inc.",To find quality homes for retired racing greyhounds.,http://www.neogreyrescue.petfinder.com
Cleveland Shakespeare Festival,"The mission of the Cleveland Shakespeare Festival is to produce exceptional, accessible theater, drawing influence from the works of William Shakespeare. We celebrate the talents of local artists in all aspects of production and excite contemporary a...",http://www.cleveshakes.org
Boonshoft Museum of Discovery,"The mission of the Boonshoft Museum of Discovery is to be the premier provider of interactive science learning experiences which enrich the lives of children and adults, enhance the quality of life in our community, and promote a broad understanding ...",http://www.boonshoftmuseum.org
Community Services Department,"It is our mission and privilege to serve senior citizens, disabled persons and families in the Village of Brooklyn Heights, Ohio.It is our objective to respect the dignity and value of every individual and to offer assistance with humility and compas...",http://brooklynhts.org
Licking County Coalition of Care,The Licking County Coalition of Care's purpose is to offer support and resources not available or not known to be available elsewhere in Licking County for individuals and families in crisis. Crisis is defined as being in immediate need of one or mor...,http://www.coalitionofcare.com
Putnam County Habitat for Humanity,"With God’s grace and the cooperation of people from all walks of life, Putnam County Habitat for Humanity partners with families in need to build, own and maintain simple, decent, affordable homes, all for the purpose of strengthening a sense o...",http://www.putnamohhabitat.org
National Park Service,"Dayton Aviation Heritage, established with a mission ""to create partnerships among Federal, State, and local governments and the private sector..."" will work with its partner organizations, including the United States Air Force, the Ohio Historical S...",http://www.nps.gov/daav
Geauga Park District,"The mission of Geauga Park District is to preserve, conserve and protect the natural features of Geauga County and to provide the opportunity for people to enjoy and appreciate those resources.",http://www.geaugaparkdistrict.org
Tussing Elementary PTO,"The Tussing Elementary PTO seves over 500 students from kindergarten through fourth grade, and has been serving Pickerington and surrounding cities and their children for many years. The PTO provides funding for not only field trips, fun day and fami...",n/a
Dress for Success Cincinnati,"Dress for Success Cincinnati's mission is to empower women to achieve economic independence by providing a network of support, professional attire and the development tools to help women thrive in work and in life.",http://www.dfscincy.org
American Red Cross of Richland County,The American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,n/a
River Sweep,To draw attention to the existing litter problem and to take steps to rectify the situation by physically removing the litter through a volunteer effort. To foster an attitude of wise stewardship practices toward our natural resources. To enhance the...,http://www.orsanco.org/riversweep
Cuyahoga Valley Preservation and Scenic Railway Association,"To provide educational, recreational and heritage railroad experiences and provide alternative transportation to and within Cuyahoga Valley National park and the Ohio & Erie Canalway.",http://www.cvsr.com
Helping Hands Community Outreach Center,"Helping Hands help mold tomorrow's leaders by empowering the entire family with social, educational, and economic skills.",http://ahelpinghands.com
St. Vincent de Paul Gateway Shelter for Women and Families,"""The Dayton District Council of St. Vincent de Paul, growing in spirituality and friendship, provides Christ-inspired person-to-person support in an empowering effort to improve the lives of those in personal, spiritual, or material need."" For more i...",http://www.stvincentdayton.org
Grailville,"We are a center of the Grail in the United States and further the Grail’s vision of a world of peace, justice and renewal of the earth, brought about by women working together as catalysts for change.",http://www.grailville.org
UH Portage Medical Center,To Heal..To Teach...To Discover,http://UHPortage.org
Fairview Hospital,"The mission of Cleveland Clinic is to provide better care of the sick, investigation into their problems, and further education of those who serve.",http://fairviewhospital.org/volunteer
Give & Take Community Services,"To empower and support individuals and families affected by poverty and joblessness who wish to improve the quality of their lives through a 3 teir support system including resource, education and mentoring.",http://gtthrift.com
Cancer Support Community,"The mission of Cancer Support Community is to ensure that all people impacted by cancer are empowered by knowledge, strengthened by action, and sustained by community.",http://www.cancersupportcincinnati.org
American Diabetes Association of Central Ohio,To prevent and cure diabetes and to improve the lives of all people affected by diabetes.,http://www.diabetes.org/columbus
LORAIN COUNTY RSVP,n/a,n/a
Retired Senior Volunteer Program (RSVP),"Our mission is to meet two critical needs in our community. First, to make sure that everyone has enough to eat, and second, that the elderly remain healthy and independent.",http://www.rsvpwc.org
Dogs Unlimited Rescue,"Dogs Unlimited Rescue, Inc. is an all volunteer non-profit organization that is dedicated to educating the public and saving abused and neglected animals from an uncertain fate. Our organization rescues animals from high kill shelters, hoarding situa...",http://www.dogsunlimitedrescue.org
Lettuce Eat Well Farmers' Market,The mission of LEWFM is to make locally produced chemical free foods and locally made environmentally conscious craft products available to area consumers; to educate consumers about the health and other benefits available from eating locally produce...,http://www.lewfm.org
Pontifex,"Mission Statement is to provide a comfortable environment where people can come and receive health, hope and healing.",n/a
Heartland Behvaioral Healthcare,Heartland Behavioral Healthcare will provide the highest quality behavioral healthcare to our consumers in an environment of safety and respect that: Educates the community about behavioral healthcare issues Promotes community and consumer safety Sup...,n/a
Grill Elementary School,"We are helping students be readers, leaders, and fit.",http://www.nortonschools.org/Domain/186
Ely Chapman Education Foundation,"The Ely Chapman Education Foundation is a non-profit educational organization, operated to provide educational enrichment programs for the community at large, including hand-on learning and job training for groups with diverse backgrounds. The founda...",n/a
Goodwill Industries of Youngstown,The Amblyopia Vision Screening Program at Goodwill strives to prevent vision loss due to lazy eye and other childhood vision problems through early detection and treatment. Financial assistance is made available for vision care for those who qualify.,n/a
Diabetes Partnership of Cleveland,"Diabetes Partnership of Cleveland Diabetes Partnership of Cleveland's mission is to ""ensure that Greater Clevelander affected by diabetes have the support they need to live well with the disease.""",http://www.diabetespartnership.org
REDEEMER CRISIS CENTER,n/a,http://redeemercrisiscenter.com
CASA Program of Delaware and Union Counties,"Delaware and Union County's CASA Programs advocate for every child in Delaware and Union County that is involved in an abuse, neglect, or dependency case.",http://www.casadelco.org/
"Volunteers of America, Bethesda Care Center",To reach out an uplift all people to the active knowledge and service of God.,http://www.bethesdacare.org
Housing Research & Advocacy Center,"The mission of the Housing Research & Advocacy Center (Housing Center) is to promote fair housing and diverse communities, and to work to eliminate housing discrimination in Northeast Ohio by providing effective research, education, and advocacy.",http://www.thehousingcenter.org
Mud Ninja -  Charity Partner Autism Speaks,"The Mud Ninja is an adrenaline pumping, thrill seeking, adventure challenge. Experience the splashes of WIPEOUT, the challenges of SURVIVOR and the rush of excitement from the AMAZING RACE, then celebrate your victory with food, beer and music. Hang ...",http://www.mudninja.com
KIPP Journey Academy,"KIPP JOURNEY Academy is a student-focused community where all students develop the intellectual, academic, and social skills needed to understand and take action on issues they encounter in everyday life. In a rigorous, safe, and personalized learnin...",http://www.kippjourneyacademy.org
Cincinnati Sister city Association,"The International Sister City program, created by President Eisenhower with a mission to promote mutual understanding, has expanded to include a full range of exchanges and benefits between two cities. An agreement signed by the Mayors of participati...",http://www.cincinnatisistercity.org/about.html
The Dawes Arboretum,"Dedicated to increasing the love and knowledge of trees, history and the natural world.",http://dawesarb.org
Awaken the City (HPCUMC),"Mission: To equip, empower and mobilize people to serve by uniting the gifts of the church with the needs of the city.",http://Awakenthecity.org
"People Working Cooperatively, Inc.","People Working Cooperatively performs essential repairs and services so that low-income homeowners can remain in their homes living independently in a safe, sound environment.",http://www.pwchomerepairs.org
Rapid Assistance to Community Emergencies,"Our Mission - To provide volunteer services in the areas of Disaster Response, Search & Rescue and Medical/Event Support. Also provide educational outreach to citizens in the areas of emergency preparedness, search & rescue techniques and SAR prevent...",http://www.disaster-response.org
Cincinnati-Hamilton County Medical Reserve Corps,The Mission of the Cincinnati-Hamilton County Medical Reserve Corps is to provide an effective volunteer asset for our regional community which is capable of enhancing and supporting the many levels of community care during a time of crisis.,http://www.tristateMRC.org
Gestalt Institute of Cleveland,"Our Mission To enhance the awareness and skills essential to building authentic relationships and powerful, positive change in individuals, groups, organizations and communities What We teach totality of body, mind and spirit; the uniqueness of each ...",http://www.gestaltcleveland.org
City of Upper Arlington Cultural Arts Division,"The mission of the Upper Arlington Cultural Arts Division is to provide and promote a diverse, lively, accessible arts environment that advances the cultural assets and enriches the quality of life of the community.",http://www.uaoh.net
The Nature Conservancy in Ohio,"The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends. For almost 60 years, we’ve been working in Ohio to do just that.",http://nature.org/ohio/
Melanoma Know More,"Melanoma Know More strives to reduce the impact of melanoma through awareness, education, support of medical research, and assistance to persons affected by melanoma.",http://www.melanomaknowmore.com
